Trade Number,Trade Type,Position Type,Purchase Date,Sell Date,LookBack Period,Slope P Value,Previous Slope P Value,Price Slope,Previous Price Slope,Old Maximum Price in LookBack Period (Before trade was made),New Maximum PRice in LookBack Period (When trade was made),Old Minimum Price in LookBack Period (Before trade was made),New Minimum Price in LookBack Period (When trade was made),Profit/Loss
1,LVL,Long,2008-11-28,2008-12-04,35,2.662699e-13,1.192018e-07,-1.244778e-02,-5.885046e-03,,,74.089996,48.080002,-337.650716
2,LVL,Long,2015-01-15,2015-02-02,35,2.337833e-15,4.183102e-10,-1.104582e-02,-3.446601e-03,,,59.860001,46.590000,358.740679
3,LVL,Long,2016-01-14,2016-01-29,35,1.146422e-13,5.262331e-09,-8.524129e-03,-3.869458e-03,,,30.860001,30.309999,294.473429
4,LVL,Long,2001-09-20,2001-10-11,35,1.647316e-08,2.317491e-10,-9.706322e-03,-9.096102e-03,,,2.340000,2.102000,279.835477
5,HVS,Short,2001-11-02,2001-11-12,35,2.525701e-09,7.947755e-07,1.155499e-02,-8.155444e-03,2.981000,3.291000,,,366.347862
6,HNVSL,Long,2019-04-05,2019-04-08,35,,,,,,,,,48.481526
7,LVL,Long,2001-07-02,2001-08-24,35,8.860331e-11,4.851017e-10,-1.046845e-02,5.014776e-03,,,0.770900,0.714400,419.722596
8,LVL,Long,2006-09-28,2006-10-25,35,2.199899e-19,3.217678e-01,-9.182887e-03,3.991201e-04,,,1.751500,1.495000,62.980233
9,LVL,Long,2004-05-19,2004-05-24,35,3.986617e-14,2.021007e-13,-1.209483e-02,4.523886e-03,,,5.820000,5.514000,52.724241
10,LVL,Long,2008-09-12,2008-09-22,35,1.575924e-13,2.871062e-07,-1.132288e-02,3.093207e-03,,,12.801000,10.490000,838.123321
11,LVL,Long,2008-10-29,2008-11-04,35,9.835510e-05,1.515631e-12,-7.283050e-03,-1.020965e-02,,,9.310000,8.790000,85.741924
12,LVL,Long,2011-10-06,2011-10-27,35,7.114411e-08,9.680196e-05,-8.964830e-03,3.059864e-03,,,29.927000,29.795000,320.549548
13,HVS,Short,2008-02-22,2008-03-03,35,2.054185e-05,4.238241e-16,6.613123e-03,2.984800e-03,2128.100098,2163.199951,,,-472.331827
14,HVS,Short,2008-03-06,2008-03-17,35,3.389343e-11,8.664417e-17,1.222295e-02,3.118619e-03,2163.199951,2251.100098,,,1256.904851
15,LVL,Long,2008-10-08,2008-10-16,35,1.784791e-07,1.178541e-01,-1.519072e-02,-1.195837e-03,,,1075.400024,957.000000,-413.315829
16,LVL,Long,2008-10-21,2009-10-06,35,4.441713e-13,1.236261e-02,-2.564475e-02,1.242751e-03,,,957.000000,872.500000,1498.654385
17,LVL,Long,2020-03-20,2020-04-14,35,1.057571e-07,8.559540e-10,-8.460532e-03,2.415257e-03,,,656.700012,595.900024,1992.835403
18,LVL,Long,2001-11-01,2001-11-02,35,1.396249e-08,1.424937e-01,-9.914822e-03,-7.123874e-04,,,325.049988,316.399994,265.454047
19,LVL,Long,2003-04-24,2003-05-21,35,7.455406e-17,2.258323e-03,-1.321646e-02,-1.633073e-03,,,175.500000,148.500000,684.362535
20,LVL,Long,2008-09-11,2008-10-15,35,5.454854e-12,1.235183e-04,-1.517433e-02,-4.874310e-03,,,293.100006,227.050003,-802.822842
21,LVL,Long,2008-10-20,2009-06-05,35,2.326899e-12,1.360873e-03,-2.155307e-02,1.947449e-03,,,224.000000,171.949997,1553.539984
22,LVL,Long,2020-03-19,2020-03-25,35,1.007947e-01,1.001346e-10,-3.849361e-03,6.046701e-03,,,1539.199951,1449.900024,2449.948867
23,LVL,Long,2021-09-30,2021-10-08,35,1.853866e-12,3.050052e-02,-8.749733e-03,-1.120286e-03,,,1865.199951,1833.099976,916.423234
24,LVL,Long,2008-11-28,2008-12-05,35,6.058642e-09,3.048453e-10,-9.312284e-03,-6.963863e-03,,,1.675000,1.568500,-644.534169
25,HNVSL,Long,2021-04-08,2021-04-12,35,,,,,,,,,-190.225255
26,HVS,Short,2022-03-09,2022-05-17,35,4.102772e-05,4.782705e-04,1.182163e-02,-1.362215e-03,1058.500000,1425.250000,,,-524.140011
