,LOSS,WIN
Profit/Loss,-30.96248835631504,17.326600619819605
Purchase Price,360.4885578269392,401.2984872501723
Number of Shares,113.26628115373845,121.27860096485183
Stop Loss Price,360.1905040604873,392.4806478290834
Sell Price,359.66120134416127,402.0852532736044
Length of Trade,6.21310557266872,4.3426946933149555
L_Mean Price,357.97733127975357,398.4106133700896
R_Mean Price,357.7456146737609,398.2426843556168
L_STD Price,12.951526183141977,13.738213301171605
R_STD Price,14.544211705404647,15.466493797381116
L_Min Price,335.76402968356206,374.13710716747073
R_Min Price,333.2765723886866,371.4517436250861
L_Max Price,381.5187958555027,423.9390920055135
R_Max Price,384.50052646317556,428.37536354238455
L_Slope Price,0.1442509101092131,0.1472829083390765
R_Slope Price,0.15503220386446373,0.14739834596829773
L_Slope Standard Error Price,0.14826939232707925,0.15977946243969676
R_Slope Standard Error Price,0.1482077849341921,0.16912474155754653
L_Slope R^2 Price,0.45128255390646876,0.447934183321847
R_Slope R^2 Price,0.5505768692243069,0.5151671261199173
L_Is Price Slope Significant,0.7250070008401008,0.7222605099931082
R_Is Price Slope Significant,0.8336600392047046,0.7996209510682288
L_Mean Volume,39829.385810697284,39872.589641626466
R_Mean Volume,39901.300714085686,40032.13077877326
L_STD Volume,16589.569904788576,17203.179357339766
R_STD Volume,16309.956188742648,17373.29421950379
L_Min Volume,10233.787174460935,9551.276361130254
R_Min Volume,10124.314757770933,9518.210199862164
L_Max Volume,80307.60095211426,82564.28566505857
R_Max Volume,79503.91626995239,82862.64955203308
L_Slope Volume,33.76639316718006,5.613089248793935
R_Slope Volume,24.427443293195182,8.120056857339765
L_Slope Standard Error Volume,256.14422290674884,267.27893349414194
R_Slope Standard Error Volume,252.26333520022402,266.5667350103377
L_Slope R^2 Volume,0.1879809577149258,0.18154548587181255
R_Slope R^2 Volume,0.19217026043125177,0.19406616126809095
L_Is Volume Slope Significant,0.35368244189302717,0.33563059958649205
R_Is Volume Slope Significant,0.3654438532623915,0.3638869745003446
