Num Trades
--- Varying: Lookback ---
Lookback,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average Total PnL,Average Trades,Average POW,Average Avg PnL,Average Max Drawdown,Average Sortino,Average Sharpe,Average Mean Losses,Average Mean Wins,Average T Stat,Overall T Stat,Overall P-Value,Overall Std,Avg Risk of Ruin,Overall Risk of Ruin
5.0000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,-28.7565,2.0000,0.3333,-94.5198,0.0000,0.0000,0.3865,-264.2840,117.7637,0.3682,0.5365,N/A,289.1028,0.9735,1.0000
10.0000,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,233.0577,2.5000,0.8125,78.5541,0.0080,-2.9958,0.7042,-74.0011,158.4660,0.3672,0.1532,N/A,271.9176,0.7504,0.9248
15.0000,1,2,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,1,N/A,-48.5685,2.0000,0.5500,-33.1559,0.0120,-11.6366,0.7740,-206.9565,180.3254,0.5037,0.5870,N/A,339.2413,0.8753,1.0000
20.0000,N/A,2,N/A,N/A,1,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,134.4518,2.2500,0.5625,66.5023,0.0155,-10.0778,4.8156,-145.0784,246.7029,0.3053,0.3178,N/A,364.0229,0.5025,0.9716
25.0000,N/A,2,N/A,N/A,1,N/A,N/A,N/A,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,333.8134,2.2000,0.6800,145.1085,0.0066,-0.3841,6.2325,-119.3462,292.5099,0.1938,0.1291,N/A,419.6557,0.6549,0.9496
30.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,5,2,N/A,1,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,734.0235,2.1667,0.9000,430.9083,0.0165,-4.4826,12.5254,-58.0300,492.2170,0.2074,0.0185,N/A,520.5282,0.6895,0.9394
35.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
40.0000,N/A,3,N/A,N/A,N/A,1,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,1,N/A,731.0452,2.1111,0.7778,400.4412,0.0159,-4.9988,2.7596,-127.2817,522.5057,0.3022,0.0156,N/A,645.6342,0.9224,0.9625
45.0000,N/A,3,N/A,N/A,N/A,N/A,1,N/A,6,3,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,1,1,632.2137,2.1111,0.7593,381.9784,0.0175,-14.4336,2.4470,-121.3118,493.4151,0.3613,0.0298,N/A,649.0463,0.9045,0.9651
50.0000,N/A,3,N/A,N/A,2,N/A,N/A,N/A,6,3,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,3,1,2,1,643.6160,2.5556,0.7222,317.6772,0.0220,-8.7244,0.5184,-171.1485,520.7081,0.4187,0.0435,N/A,674.1678,0.8804,0.9770
55.0000,1,4,N/A,N/A,1,N/A,N/A,N/A,6,5,N/A,N/A,N/A,N/A,N/A,1,1,N/A,N/A,N/A,2,1,2,1,640.3038,2.2727,0.7197,330.2151,0.0167,-11.8218,0.0363,-148.4329,509.8200,0.4977,0.0377,N/A,758.0020,0.9692,0.9806
60.0000,1,4,N/A,N/A,N/A,N/A,2,N/A,6,5,1,N/A,N/A,N/A,N/A,1,2,N/A,N/A,N/A,3,1,2,1,511.9738,2.4167,0.5903,233.4766,0.0182,-11.7182,-1.2672,-217.9027,497.8764,0.5583,0.0597,N/A,709.9803,0.9881,0.9825
65.0000,1,5,N/A,N/A,N/A,1,2,N/A,6,5,5,N/A,N/A,N/A,N/A,1,4,N/A,N/A,N/A,3,1,2,1,294.8537,2.8462,0.4795,111.8409,0.0354,-1.3272,-1.9660,-278.1174,425.7599,0.5947,0.1931,N/A,718.2308,0.9881,0.9944
70.0000,1,5,N/A,N/A,N/A,1,2,N/A,5,6,5,N/A,N/A,1,N/A,1,4,N/A,N/A,N/A,4,1,3,1,443.3770,2.8571,0.5286,165.2684,0.0397,-2.0907,-1.9716,-298.7715,494.3674,0.5262,0.1160,N/A,808.1877,0.9916,0.9948
75.0000,N/A,5,N/A,N/A,1,1,3,N/A,5,6,7,N/A,N/A,1,N/A,1,3,N/A,N/A,N/A,4,1,3,1,455.5285,3.0000,0.4673,156.0857,0.0382,-5.7395,-1.6468,-327.6657,550.8646,0.5208,0.1150,N/A,807.7378,0.9898,0.9949
80.0000,N/A,8,N/A,N/A,1,1,1,N/A,5,5,8,N/A,N/A,2,N/A,1,3,N/A,N/A,N/A,5,1,2,1,557.3707,3.1429,0.4280,195.0408,0.0429,-4.4572,-1.4735,-337.6551,681.4271,0.4305,0.0918,N/A,870.2185,0.9864,0.9949
85.0000,N/A,7,N/A,N/A,1,1,1,N/A,5,5,9,N/A,N/A,2,N/A,1,3,N/A,N/A,N/A,4,1,2,1,847.6370,3.0714,0.5163,296.2450,0.0363,-1.9707,-0.6333,-356.4960,762.5818,0.3989,0.0396,N/A,1005.5918,0.9885,0.9951
90.0000,N/A,7,N/A,N/A,2,1,1,N/A,5,5,9,N/A,N/A,2,N/A,N/A,2,N/A,N/A,N/A,4,2,2,1,951.5515,3.3077,0.4663,304.7770,0.0438,-0.9500,-0.3947,-433.0137,909.9747,0.4041,0.0417,N/A,1063.4750,0.9903,0.9954
95.0000,N/A,9,N/A,N/A,1,1,2,N/A,5,5,8,N/A,N/A,2,N/A,N/A,2,N/A,N/A,1,4,2,2,1,1042.1144,3.2143,0.5710,482.1704,0.0450,-1.1256,-0.4554,-377.3462,1051.7691,0.4262,0.0284,N/A,1111.6124,0.9922,0.9958
100.0000,N/A,8,N/A,N/A,3,1,1,N/A,5,5,8,N/A,N/A,2,N/A,N/A,2,N/A,N/A,1,4,2,2,1,880.2936,3.2143,0.5637,409.5386,0.0433,46.7256,-0.6620,-342.8224,970.4765,0.4089,0.0375,N/A,1007.2323,0.9902,0.9952

--- Varying: ATR Period ---
ATR Period,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Average Total PnL,Average Trades,Average POW,Average Avg PnL,Average Max Drawdown,Average Sortino,Average Sharpe,Average Mean Losses,Average Mean Wins,Average T Stat,Overall T Stat,Overall P-Value,Overall Std,Avg Risk of Ruin,Overall Risk of Ruin
5.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,867.4375,2.4286,0.9184,483.8210,0.0172,-1.8623,5.8965,-57.8714,546.8617,0.1879,0.0075,N/A,541.1014,0.7341,0.9547
6.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,835.1274,2.4286,0.9184,456.7824,0.0173,-1.5632,5.1431,-57.5984,519.9988,0.1898,0.0084,N/A,531.4511,0.7554,0.9548
7.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,842.5887,2.4286,0.9184,442.5390,0.0174,-1.6271,11.8846,-58.8708,507.2089,0.1770,0.0098,N/A,552.0402,0.6941,0.9620
8.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,5,1,1,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,621.5848,1.7500,0.9500,460.0353,0.0057,1.5027,33.2613,-53.3298,501.0801,0.1375,0.0030,N/A,404.9283,0.7492,0.9170
9.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,5,1,1,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,628.7693,1.7500,0.9500,458.2482,0.0059,1.3116,8.7733,-53.4328,499.6339,0.1453,0.0034,N/A,417.9279,0.7536,0.9248
10.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,964.7785,2.2857,0.9286,469.0039,0.0111,0.2681,9.5272,-56.3924,527.4569,0.1312,0.0035,N/A,541.7152,0.6803,0.9495
11.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,987.6569,2.2857,0.9286,480.1187,0.0115,0.2750,11.5511,-57.8158,540.3861,0.1288,0.0035,N/A,553.7940,0.6662,0.9532
12.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1023.0286,2.2857,0.9286,493.6952,0.0091,4.6642,15.6052,-48.8022,552.1889,0.1077,0.0024,N/A,540.6956,0.6893,0.9235
13.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1052.0333,2.2857,0.9286,503.1882,0.0095,3.4165,14.9966,-50.0598,564.4102,0.1038,0.0023,N/A,552.4186,0.6854,0.9302
14.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1078.9730,2.2857,0.9286,515.8965,0.0100,3.0072,11.4847,-52.5368,579.8453,0.1067,0.0025,N/A,575.0219,0.6888,0.9391
15.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1113.3188,2.2857,0.9286,526.4145,0.0103,3.0424,9.5510,-53.4558,592.5391,0.1086,0.0025,N/A,594.4558,0.7635,0.9412
16.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,860.5583,2.2857,0.9048,458.7333,0.0146,-4.4205,9.7620,-48.3300,523.9588,0.2003,0.0081,N/A,556.1619,0.7329,0.9455
17.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,6,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,749.3851,2.2857,0.8333,402.4735,0.0144,-3.8773,3.6330,-83.0265,504.6957,0.3157,0.0163,N/A,557.1193,0.8690,0.9526
18.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1021.5726,2.4286,0.9184,504.7309,0.0105,0.0598,29.0070,-48.3297,569.6014,0.1379,0.0042,N/A,577.1433,0.7614,0.9507
19.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1031.9291,2.4286,0.9184,512.0828,0.0107,0.0865,59.4062,-49.3815,578.5941,0.1341,0.0039,N/A,577.1511,0.7301,0.9527
20.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1031.4388,2.4286,0.9184,517.9500,0.0110,-0.1863,19.9627,-50.2556,583.5174,0.1411,0.0042,N/A,581.7565,0.7354,0.9534
25.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,948.2109,2.4286,0.9184,492.8261,0.0113,0.0896,10.8554,-52.0558,563.0987,0.1384,0.0046,N/A,543.7783,0.6330,0.9561
30.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,3,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,1037.6578,2.4286,0.9184,534.1511,0.0122,0.0995,9.6299,-56.3272,610.3763,0.1377,0.0054,N/A,610.1813,0.6650,0.9639
35.0000,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,7,2,N/A,1,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,2,1,N/A,N/A,986.0800,2.2857,0.9184,571.5653,0.0128,0.0708,9.8307,-59.0153,651.0549,0.1437,0.0099,N/A,662.3583,0.6273,0.9709
